,LONGITUD,LATITUD,DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,OD_PORC,TOX_D_48_UT,TOX_V_15_UT,TOX_FIS_SUP_15_UT,SEMAFORO,GRUPO,Coordenadas
736,-99.05669,20.20879,24.16,100.49,92.0,750.0,750.0,17.5,2.237,1.0,1.0,Rojo,LOTICO,POINT (-99.05669 20.20879)
737,-99.08676,20.20945,28.66,129.41,180.0,200.0,200.0,22.3,1.34,1.0,1.0,Rojo,LOTICO,POINT (-99.08676 20.20945)
738,-99.13118,20.21629,27.91,107.66,100.0,1500.0,1500.0,18.8,1.0,1.0,1.0,Rojo,LOTICO,POINT (-99.13118 20.21629)
739,-99.19325,20.14758,31.2,285.79,120.0,930.0,930.0,31.5,1.0,1.0,1.0,Rojo,LOTICO,POINT (-99.19325 20.14758)
740,-99.22298,20.0347,65.54,196.21,32.0,280.0,210.0,25.3,1.0,1.0,1.0,Rojo,LOTICO,POINT (-99.22298 20.0347)
741,-99.31116,19.96261,5.91,54.12,28.0,11000.0,11000.0,68.3,1.0,1.0,1.0,Rojo,LENTICO,POINT (-99.31116 19.96261)
742,-99.3649,19.97141,20.66,61.92,64.0,930.0,930.0,78.5,1.0,1.0,1.0,Rojo,LOTICO,POINT (-99.3649 19.97141)
743,-99.34277,19.89509,26.35,40.95,84.0,2400.0,930.0,42.8,1.0,1.0,1.0,Rojo,LOTICO,POINT (-99.34277 19.89509)
744,-99.34299,19.88919,19.51,20.01,96.0,210.0,150.0,67.4,1.0,1.0,1.0,Verde,LOTICO,POINT (-99.34299 19.88919)
745,-99.34304,19.88671,17.57,21.61,68.0,2400.0,2400.0,44.3,1.0,1.0,1.0,Amarillo,LOTICO,POINT (-99.34304 19.88671)
746,-99.36947,19.96577,3.72,14.4,64.0,930.0,930.0,73.6,1.0,1.0,1.0,Amarillo,LOTICO,POINT (-99.36947 19.96577)
747,-99.37576,19.95589,3.66,19.2,40.0,2400.0,930.0,62.8,1.0,1.0,1.0,Amarillo,LOTICO,POINT (-99.37576 19.95589)
748,-99.36358,19.97276,5.22,30.24,60.0,430.0,430.0,71.6,1.0,1.0,1.0,Verde,LOTICO,POINT (-99.36358 19.97276)
749,-99.35682,20.15875,8.85,173.4,36.0,750.0,430.0,34.1,1.0,1.0,1.0,Rojo,LOTICO,POINT (-99.35682 20.15875)
750,-99.28088,20.1946,15.45,26.88,40.0,2100.0,2100.0,66.4,1.0,1.0,1.0,Amarillo,LOTICO,POINT (-99.28088 20.1946)
751,-98.82925,20.65081,4.41,48.4,20.0,1500.0,1500.0,55.6,1.0,1.0,1.0,Rojo,LOTICO,POINT (-98.82925 20.65081)
752,-98.64994,20.75222,6.42,1043.35,24.0,230.0,230.0,68.3,1.0,1.0,1.0,Rojo,LOTICO,POINT (-98.64994 20.75222)
753,-98.39645,20.15273,7.35,51.3,32.0,40.0,3.0,68.3,1.0,1.0,1.0,Rojo,LENTICO,POINT (-98.39645 20.15273)
754,-98.39377,20.14794,6.45,40.17,28.0,3.0,3.0,68.3,1.0,1.0,1.0,Rojo,LENTICO,POINT (-98.39377 20.14794)
755,-98.28221,20.02808,2.0,28.8,12.0,3.0,3.0,68.3,1.0,1.0,1.0,Verde,LENTICO,POINT (-98.28221 20.02808)
756,-98.30894,20.02255,34.32,38.88,24.0,930.0,930.0,32.3,1.0,1.0,1.0,Rojo,LOTICO,POINT (-98.30894 20.02255)
757,-98.1358,20.15736,2.0,10.0,10.0,11000.0,2100.0,68.3,1.0,1.0,1.0,Amarillo,LENTICO,POINT (-98.1358 20.15736)
758,-98.12936,20.1352,2.29,30.29,10.0,430.0,230.0,68.3,1.0,1.0,1.0,Verde,LENTICO,POINT (-98.12936 20.1352)
759,-98.14241,20.12749,2.57,24.57,10.0,750.0,230.0,68.3,1.0,1.0,1.0,Verde,LENTICO,POINT (-98.14241 20.12749)
760,-98.1394,20.17025,2.0,18.86,10.0,750.0,430.0,68.3,1.0,1.0,1.0,Verde,LENTICO,POINT (-98.1394 20.17025)
761,-98.36839,19.86751,5.55,46.95,44.0,70.0,70.0,68.3,1.0,1.0,1.0,Rojo,LENTICO,POINT (-98.36839 19.86751)
762,-98.39119,19.86899,4.05,50.34,36.0,150.0,150.0,68.3,1.0,1.0,1.0,Rojo,LENTICO,POINT (-98.39119 19.86899)
763,-98.39931,19.84471,7.8,44.04,40.0,90.0,40.0,68.3,1.0,1.0,1.0,Rojo,LENTICO,POINT (-98.39931 19.84471)
764,-99.69615,20.57444,7.0,58.0,20.0,150.0,30.0,62.1,1.0,1.0,1.0,Rojo,LOTICO,POINT (-99.69615 20.57444)
